ID_taxonID,scientificName,sPrimaryCommonName,synonymName,SWAP2015,SWAP2023,SWAP2023designation,lastUpdated,taxonomyNotes,comments,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id,subspecies,variety
19288,Mictomys borealis,Northern Bog Lemming,NA,TRUE,TRUE,SGIN - D,2025-05-06T00:00:00Z,"moved from Synaptomys to Mictomys; see Hope, A. G., Headlee, K. M., Olson, Z. H., & Wiens, B. J. (2023). Systematics, biogeography and phylogenomics of northern bog lemmings (Cricetidae), cold-temperate rodents of conservation concern under global change. Systematics and Biodiversity, 21(1), 2237050.",Need to update scientificName in SWAP,9439964,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Synaptomys,Synaptomys borealis,2438953,NA,NA
18109,Microdipodops megacephalus,Dark Kangaroo Mouse,NA,TRUE,TRUE,SGIN - D,2025-05-06T00:00:00Z,NA,NA,2439502,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Microdipodops,Microdipodops megacephalus,2439502,NA,NA
17870,Marmota caligata,Hoary Marmot,NA,TRUE,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,2437378,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Marmota caligata,2437378,NA,NA
80252,Urocitellus brunneus,Northern Idaho Ground Squirrel,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,"ASM mainCommonName for this taxon is ""Idaho Ground Squirrel""; according to ASM, the subspecies endemicus is occasionally considered a distinct species, although this has not been followed in most subsequent publications and the data presented in the publication splitting the two species does not appear to strongly support a two species model",NA,7640191,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus brunneus,7640191,NA,NA
16552,Urocitellus canus,Merriam's Ground Squirrel,NA,TRUE,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,7548484,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus canus,7548484,NA,NA
81013,Urocitellus elegans nevadensis,Wyoming Ground Squirrel (ssp. nevadensis),NA,TRUE,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,9125988,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus elegans,9125988,Urocitellus elegans nevadensis,NA
80667,Urocitellus endemicus,Southern Idaho Ground Squirrel,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,"ASM does not recognize this taxon as a separate species and includes it in Urocitellus brunneus; according to ASM, the subspecies endemicus is occasionally considered a distinct species, although this has not been followed in most subsequent publications and the data presented in the publication splitting the two species does not appear to strongly support a two species model",NA,10746430,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus endemicus,10746430,NA,NA
18888,Sorex nanus,Dwarf Shrew,NA,NA,TRUE,SGIN - D,2025-05-06T00:00:00Z,NA,NA,2436108,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex nanus,2436108,NA,NA
18543,Spilogale gracilis,Western Spotted Skunk,NA,NA,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,2434835,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Spilogale,Spilogale gracilis,2434835,NA,NA
19008,Elgaria coerulea,Northern Alligator Lizard,NA,NA,TRUE,SGIN - D,2024-04-15T00:00:00Z,NA,NA,2468254,Animalia,Chordata,Squamata,NA,Anguidae,Elgaria,Elgaria coerulea,2468254,NA,NA
17968,Sonora semiannulata,Western Groundsnake,NA,NA,TRUE,SGIN - D,2024-04-15T00:00:00Z,NA,NA,2453084,Animalia,Chordata,Squamata,NA,Colubridae,Sonora,Sonora semiannulata,2453084,NA,NA
16152,Thamnophis sirtalis,Common Gartersnake,NA,NA,TRUE,SGCN,2024-04-15T00:00:00Z,NA,NA,2457522,Animalia,Chordata,Squamata,NA,Colubridae,Thamnophis,Thamnophis sirtalis,2457522,NA,NA
18788,Crotaphytus bicinctores,Great Basin Collared Lizard,NA,TRUE,TRUE,SGCN,2024-04-15T00:00:00Z,NA,NA,2470618,Animalia,Chordata,Squamata,NA,Crotaphytidae,Crotaphytus,Crotaphytus bicinctores,2470618,NA,NA
